video_title,author,comment,video_likes
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@pistachexiaohua6705,"In this polarized,  crazy ass world, I'm always so happy to have a video from Xiaoma to watch.",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@wallstreetx5241,"Xiaoma is one of top 3 fav youtuber, his dedication to this videos is insane and they are just so humble and he makes want to learn more languages",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@djjohnson9389,ok but for real the lady who owns Y&C is absolutely stunning.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@joshuahendricks7201,The first client he was working on was a really nice dude. 2nd one kept that same energy when he found out .,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@sfckrbec,"Watching the reaction to the tip was awesome, those ladies walked him through everything and they truly earned that tip. Xioma was right to insist that they get it. Good on you sir.",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@benjaminthompson8024,"Love it, you've inspired me to try learning Brazilian Portuguese to communicate better with a co-worker, he loves it. Great stuff man!",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@s-kvn-k,Least relaxing massage  good one,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@kenxd585,I genuinly wouldn’t want to have that much conversation during a massage lol,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@danielasanmartin2997,"The fake accent was killing me on the inside...legend! 
9:02 ""You haven't said a truthful word since he started speaking Chinese"" yeah that's what I thought lol",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Trashket,“You are strong man” got me so good!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Seralzae,Anatoly-style prank lmao,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Shirva33,I love these undercover videos,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@glennandrews7689,"That ""Rusky"" accent has got me cracking up soooo hard!!! LOL...very nicely done.  I have to say what a beautiful host/proprietor....next time in NYC I'll be heading over!  :)",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@FireRupee,Guy's just doing side quests now.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@drunkenmonkey_le5697,Awesome prank and surprise! The owner or manager is really pretty.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@janellek21,Igor from Moldova is back!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@jackrippper3389,i love this guy,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@pbnv,I love your videos. Been watching for years. Thanks for making great content. You are appreciated!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Marceloruiz,This new series of Xiaoma undercover in business is great hahaha,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@sweetlylorelei,"I love how you played the intentionally clumsy trainee, giving the customers a  skeptic feeling lmao but when I see you really want to go through with this and with some training, you would really be a stellar employee.

I think your video being a waiter and server highly classifies you well. You would make an excellent server for sure, even a bartender. Lots of tips Hahaha  But I am very happy to see them respecting you speaking the language so fluently, you bring love to easygoing people. Happy times, XiaomaNYC! ",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Julzaa,Starts at 5:01,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@breebrat56,His wife was very kind telling her husband to give you some grace since you were learning ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@waltercastro2015,7:54  I am done rating him .,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@squirrelgray945,Guy getting the massage is hilarious and after the prank is revealed the massage continuing is great.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@KeegzAndersen,"You’re looking good man, keep up the hard work!",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@speier,It’s crazy I haven’t been on YouTube in over a year and I come back and see you’ve lost so much weight Ari! You look great. Keep up the great work ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@WinterzPlayz,As someone with severe social anxiety. This teacher Ai actually seems like the most productive use of AI I've ever seen,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@susanjeffay3851,"You bring such joy to every situation- what a fine ""ambassador""",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@OpusKingOfficial,Side note: boss lady is GORGEOUS,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@bigdaddyrrbh277,"Xiao, i'm smh in awe, in utmost respect. These side jobs are marvellous. Love the interaction, hilarity. What you are doing to the small businesses with your followers. Great job. If i lived in NYC, I def. visit..",0
